"DISPATCHED","DESCRIPTION","ADDRESS","GRID","REPORT"
"04-24-2023 01:40 PM","FOLLOW UP INVESTIGATION","3800 BLOCK N 22ND ST","97","171391"
"04-24-2023 12:49 PM","MISDEMEANOR","4600 BLOCK E HILLSBOROUGH AVE","63","171424"
"04-24-2023 12:48 PM","BUILDING CHECK","2500 BLOCK N 12TH ST","107","171427"
"04-24-2023 12:48 PM","NATURE UNKNOWN","300 BLOCK W HAMILLER AVE","18","171430"
"04-24-2023 12:42 PM","BUILDING CHECK","11000 BLOCK CROSS CREEK BLVD","260","171429"
"04-24-2023 12:42 PM","HIT AND RUN","1900 BLOCK N 34TH ST","130","171428"
"04-24-2023 12:39 PM","INFORMATION","5600 BLOCK N FLORIDA AVE","57","171426"
"04-24-2023 12:38 PM","NATURE UNKNOWN","5100 BLOCK W LEMON ST","118","171411"
"04-24-2023 12:36 PM","DISABLED VEHICLE","N HIMES AVE / W SPRUCE ST","121","171422"
"04-24-2023 12:35 PM","VEHICLE STOP/TRAFFIC","N 15TH ST / E HANNA AVE","59","171421"
"04-24-2023 12:34 PM","SUSPICIOUS VEHICLE","4100 BLOCK W GANDY BLVD","187","171404"
"04-24-2023 12:34 PM","INFORMATION","3800 BLOCK W TAMPA BAY BLVD","89","171419"
"04-24-2023 12:32 PM","NATURE UNKNOWN","4500 BLOCK S DALE MABRY HWY","178","171417"
"04-24-2023 12:31 PM","BUILDING CHECK","N TAMPA ST / E OAK AVE","115","171418"
"04-24-2023 12:30 PM","PETTY THEFT","300 BLOCK WESTSHORE PLZ","149","171410"
"04-24-2023 12:28 PM","MISDEMEANOR","8200 BLOCK N FLORIDA AVE","37","171386"
"04-24-2023 12:28 PM","DISTURBANCE","8500 BLOCK N 17TH ST","30","171412"
"04-24-2023 12:28 PM","MISDEMEANOR","200 BLOCK E STRATFORD AVE","95","171414"
"04-24-2023 12:27 PM","BUILDING CHECK","PICTORIAL PARK DR / BREAKING ROCKS DR","261","171413"
"04-24-2023 12:26 PM","INFORMATION","300 BLOCK E OHIO AVE","95","171281"
"04-24-2023 12:24 PM","NATURE UNKNOWN","4400 BLOCK N 48TH ST","87","171403"
"04-24-2023 12:23 PM","NATURE UNKNOWN","8700 BLOCK N 30TH ST","31","171399"
"04-24-2023 12:23 PM","TRAFFIC CRASH","W HILLSBOROUGH AVE / HILLSBOROUGH RIVER","57","171409"
"04-24-2023 12:23 PM","NATURE UNKNOWN","6900 BLOCK S MANHATTAN AVE","196","171407"
"04-24-2023 12:23 PM","INFORMATION","1200 BLOCK ORIENT RD","134","171408"
"04-24-2023 12:19 PM","RESID/COMMERIAL ALARM","2200 BLOCK E FOWLER AVE","6","171401"
"04-24-2023 12:18 PM","INFORMATION","N 19TH ST / E 32ND AVE","97","171400"
"04-24-2023 12:17 PM","DISTURBANCE","2700 BLOCK N FLORIDA AVE","106","171397"
"04-24-2023 12:16 PM","BUILDING CHECK","10900 BLOCK PICTORIAL PARK DR","264","171398"
"04-24-2023 12:16 PM","DOMESTIC DISPUTE","300 BLOCK E GOULD CT","95","171393"
"04-24-2023 12:15 PM","VEHICLE STOP/TRAFFIC","N SEMMES ST / E WATERS AVE","39","171395"
"04-24-2023 12:13 PM","BUILDING CHECK","CROSS CREEK BLVD / CEDAR PINE DR","260","171392"
"04-24-2023 12:13 PM","VEHICLE STOP/TRAFFIC","W KENNEDY BLVD / S LAUBER WAY","156","171389"
"04-24-2023 12:13 PM","BUILDING CHECK","3800 BLOCK S DALE MABRY HWY","178","171388"
"04-24-2023 12:12 PM","CRIMINAL MISCHIEF","1100 BLOCK E YUKON ST","29","171361"
"04-24-2023 12:08 PM","VEHICLE STOP/TRAFFIC","S HARBOUR ISLAND BLVD / KNIGHTS RUN AVE","145","171384"
"04-24-2023 12:07 PM","DISTURBANCE","4200 BLOCK KENNETH CT","63","171381"
"04-24-2023 12:05 PM","BUILDING CHECK","1600 BLOCK E CURTIS ST","84","171383"
"04-24-2023 12:03 PM","VEHICLE STOP/TRAFFIC","E POLK ST / N TAMPA ST","143","171382"
"04-24-2023 12:01 PM","NATURE UNKNOWN","7700 BLOCK W COURTNEY CAMPBELL CSWY","117","171380"
"04-24-2023 11:58 AM","INFORMATION","3700 BLOCK N NEBRASKA AVE","95","171344"
"04-24-2023 11:58 AM","POLICE SERVICE CALL","300 BLOCK E COLUMBUS DR","116","171379"
"04-24-2023 11:58 AM","RESID/COMMERIAL ALARM","4500 BLOCK W KENNEDY BLVD","150","171378"
"04-24-2023 11:56 AM","LOST/FOUND PROPERTY","1200 BLOCK N ORANGE AVE","141","171376"
"04-24-2023 11:54 AM","INFORMATION","3800 BLOCK W TAMPA BAY BLVD","89","171373"
"04-24-2023 11:54 AM","MENTALLY ILL PERSON","GRID ONLY","7","171371"
"04-24-2023 11:52 AM","MISDEMEANOR","1900 BLOCK N DALE MABRY HWY","120","171359"
"04-24-2023 11:51 AM","LOST/STOLEN TAG","4400 BLOCK E HILLSBOROUGH AVE","75","171370"
"04-24-2023 11:49 AM","STOLEN VEHICLE","400 BLOCK N ROME AVE","154","171334"
"04-24-2023 11:48 AM","INFORMATION","8700 BLOCK N 48TH ST","33","171368"
"04-24-2023 11:46 AM","MISDEMEANOR","200 BLOCK E STRATFORD AVE","95","171328"
"04-24-2023 11:45 AM","INFORMATION","5100 BLOCK W GANDY BLVD","186","171367"
"04-24-2023 11:45 AM","TRAFFIC LIGHT OUT","E WHITING ST / N MORGAN ST","144","171354"
"04-24-2023 11:42 AM","BUILDING CHECK","200 BLOCK BAYSHORE BLVD","162","171363"
"04-24-2023 11:42 AM","MISDEMEANOR","5600 BLOCK N FLORIDA AVE","58","171362"
"04-24-2023 11:41 AM","NATURE UNKNOWN","1900 BLOCK OCEANVIEW PL","148","171353"
"04-24-2023 11:39 AM","STOLEN VEHICLE","700 BLOCK E COLUMBUS DR","116","171348"
"04-24-2023 11:39 AM","NATURE UNKNOWN","6100 BLOCK SCORPIO CIR","48","171350"
"04-24-2023 11:38 AM","HIT AND RUN","N 15TH ST / E FOWLER AVE","4","171358"
"04-24-2023 11:37 AM","BUILDING CHECK","300 BLOCK E COLUMBUS DR","116","171357"
"04-24-2023 11:36 AM","SUSPICIOUS VEHICLE","18000 BLOCK RICHMOND PLACE DR","242","171352"
"04-24-2023 11:36 AM","STOLEN VEHICLE","1500 BLOCK N DALE MABRY HWY","121","171347"
"04-24-2023 11:32 AM","INFORMATION","1800 BLOCK E WOOD ST","30","171316"
"04-24-2023 11:31 AM","DISABLED VEHICLE","BRUCE B DOWNS BLVD / E COUNTY LINE RD","247","171346"
"04-24-2023 11:30 AM","RESID/COMMERIAL ALARM","3100 BLOCK W AZEELE ST","158","171335"
"04-24-2023 11:28 AM","DOMESTIC DISPUTE","700 BLOCK ORCHID AVE","19","171343"
"04-24-2023 11:27 AM","DISABLED VEHICLE","7700 BLOCK W COURTNEY CAMPBELL CSWY","117","171329"
"04-24-2023 11:25 AM","DOMESTIC DISPUTE","2100 BLOCK W RIO VISTA AVE","56","171338"
"04-24-2023 11:24 AM","INFORMATION","3800 BLOCK W TAMPA BAY BLVD","89","171337"
"04-24-2023 11:19 AM","INFORMATION","3500 BLOCK E 33RD AVE","99","171330"
"04-24-2023 11:18 AM","BUILDING CHECK","2900 BLOCK N MASSACHUSETTS AVE","105","171327"
"04-24-2023 11:17 AM","RESID/COMMERIAL ALARM","400 BLOCK S HOWARD AVE","160","171323"
"04-24-2023 11:16 AM","MISDEMEANOR","N CENTRAL AVE / E HENDERSON AVE","125","171325"
"04-24-2023 11:16 AM","VEHICLE STOP/TRAFFIC","N FLORIDA AVE / W WATERS AVE","36","171324"
"04-24-2023 11:09 AM","AGG ASSAULT/BATTERY","3800 BLOCK N 22ND ST","97","171287"
"04-24-2023 11:06 AM","STREET OBSTRUCTION","SR 60 W SB / COURTNEY CAMPBELL SR 60 RAMP","117","171308"
